t V I Nreal Treal Vschottky Vdiscplugserial Rschottky Rdisc Rplug Rseries Rtotal rvar lvar
0 0 0 0.008 293 0 0 nan 61318.1 159.427 1369.24 nan 4.5e-08 0.4
0.001 -0.001 -6.13435e-09 0.008 293 -0.000614476 -0.000385524 100170 61318.1 159.427 1369.24 163017 4.5e-08 0.4
0.002 -0.002 -1.23445e-08 0.008 293 -0.00122419 -0.000775814 99168.2 61318.1 159.427 1369.24 162015 4.5e-08 0.4
0.003 -0.003 -1.86245e-08 0.008 293.001 -0.00182951 -0.00117049 98231.8 61318.1 159.427 1369.24 161079 4.5e-08 0.4
0.004 -0.004 -2.4972e-08 0.008 293.001 -0.00243059 -0.00156941 97332.4 61318.1 159.427 1369.24 160179 4.5e-08 0.4
0.005 -0.005 -3.13874e-08 0.008 293.002 -0.00302741 -0.00197259 96453 61318.1 159.427 1369.24 159300 4.5e-08 0.4
0.006 -0.006 -3.78684e-08 0.008 293.002 -0.00362009 -0.00237991 95596.6 61318.1 159.427 1369.24 158443 4.5e-08 0.4
0.007 -0.007 -4.44147e-08 0.008 293.003 -0.00420868 -0.00279132 94758.6 61318.1 159.427 1369.24 157605 4.5e-08 0.4
0.008 -0.008 -5.1026e-08 0.008 293.004 -0.00479318 -0.00320682 93936.1 61318.1 159.427 1369.24 156783 4.5e-08 0.4
0.009 -0.009 -5.77001e-08 0.008 293.005 -0.00537374 -0.00362626 93132.2 61318.1 159.427 1369.24 155979 4.5e-08 0.4
0.01 -0.01 -6.44374e-08 0.008 293.006 -0.00595032 -0.00404968 92342.7 61318.1 159.427 1369.24 155189 4.5e-08 0.4
0.011 -0.011 -7.12357e-08 0.008 293.008 -0.00652307 -0.00447693 91570.2 61318.1 159.427 1369.24 154417 4.5e-08 0.4
0.012 -0.012 -7.80955e-08 0.008 293.009 -0.00709196 -0.00490804 90811.4 61318.1 159.427 1369.24 153658 4.5e-08 0.4
0.013 -0.013 -8.50146e-08 0.008 293.011 -0.00765711 -0.00534289 90068.2 61318.1 159.427 1369.24 152915 4.5e-08 0.4
0.014 -0.014 -9.19935e-08 0.008 293.013 -0.00821851 -0.00578149 89338 61318.1 159.427 1369.24 152185 4.5e-08 0.4
0.015 -0.015 -9.90301e-08 0.008 293.015 -0.00877628 -0.00622372 88622.4 61318.1 159.427 1369.24 151469 4.5e-08 0.4
0.016 -0.016 -1.06125e-07 0.008 293.017 -0.0093304 -0.0066696 87919.1 61318.1 159.427 1369.24 150766 4.5e-08 0.4
0.017 -0.017 -1.13276e-07 0.008 293.019 -0.00988099 -0.00711901 87229.6 61318.1 159.427 1369.24 150076 4.5e-08 0.4
0.018 -0.018 -1.20483e-07 0.008 293.021 -0.010428 -0.00757198 86551.6 61318.1 159.427 1369.24 149398 4.5e-08 0.4
0.019 -0.019 -1.27745e-07 0.008 293.024 -0.0109716 -0.00802838 85886.6 61318.1 159.427 1369.24 148733 4.5e-08 0.4
0.02 -0.02 -1.35063e-07 0.008 293.027 -0.0115118 -0.00848825 85232.7 61318.1 159.427 1369.24 148079 4.5e-08 0.4
0.021 -0.021 -1.42433e-07 0.008 293.03 -0.0120485 -0.00895145 84590.9 61318.1 159.427 1369.24 147438 4.5e-08 0.4
0.022 -0.022 -1.49857e-07 0.008 293.033 -0.012582 -0.00941804 83959.6 61318.1 159.427 1369.24 146806 4.5e-08 0.4
0.023 -0.023 -1.57333e-07 0.008 293.036 -0.0131121 -0.00988787 83339.9 61318.1 159.427 1369.24 146187 4.5e-08 0.4
0.024 -0.024 -1.64861e-07 0.008 293.039 -0.013639 -0.010361 82730.1 61318.1 159.427 1369.24 145577 4.5e-08 0.4
0.025 -0.025 -1.72441e-07 0.008 293.043 -0.0141627 -0.0108373 82130.6 61318.1 159.427 1369.24 144977 4.5e-08 0.4
0.026 -0.026 -1.8007e-07 0.008 293.046 -0.0146832 -0.0113168 81541.8 61318.1 159.427 1369.24 144388 4.5e-08 0.4
0.027 -0.027 -1.87749e-07 0.008 293.05 -0.0152006 -0.0117994 80962.1 61318.1 159.427 1369.24 143809 4.5e-08 0.4
0.028 -0.028 -1.95477e-07 0.008 293.054 -0.0157149 -0.0122851 80392.6 61318.1 159.427 1369.24 143239 4.5e-08 0.4
0.029 -0.029 -2.03254e-07 0.008 293.058 -0.0162261 -0.0127739 79831.8 61318.1 159.427 1369.24 142679 4.5e-08 0.4
0.03 -0.03 -2.11078e-07 0.008 293.063 -0.0167344 -0.0132656 79280.7 61318.1 159.427 1369.24 142127 4.5e-08 0.4
0.031 -0.031 -2.1895e-07 0.008 293.067 -0.0172397 -0.0137603 78737.8 61318.1 159.427 1369.24 141585 4.5e-08 0.4
0.032 -0.032 -2.26869e-07 0.008 293.072 -0.017742 -0.014258 78203.6 61318.1 159.427 1369.24 141050 4.5e-08 0.4
0.033 -0.033 -2.34834e-07 0.008 293.077 -0.0182415 -0.0147585 77678.3 61318.1 159.427 1369.24 140525 4.5e-08 0.4
0.034 -0.034 -2.42844e-07 0.008 293.082 -0.018738 -0.015262 77160.7 61318.1 159.427 1369.24 140007 4.5e-08 0.4
0.035 -0.035 -2.50899e-07 0.008 293.087 -0.0192318 -0.0157682 76651.6 61318.1 159.427 1369.24 139498 4.5e-08 0.4
0.036 -0.036 -2.58999e-07 0.008 293.092 -0.0197228 -0.0162772 76149.9 61318.1 159.427 1369.24 138997 4.5e-08 0.4
0.037 -0.037 -2.67143e-07 0.008 293.098 -0.0202109 -0.0167891 75655.8 61318.1 159.427 1369.24 138503 4.5e-08 0.4
0.038 -0.038 -2.7533e-07 0.008 293.104 -0.0206964 -0.0173036 75169.7 61318.1 159.427 1369.24 138016 4.5e-08 0.4
