t V I Nreal Treal Vschottky Vdiscplugserial Rschottky Rdisc Rplug Rseries Rtotal
0 0 0 0.008 293 0 0 nan 61318.1 159.427 1369.24 nan
0.001 -0.000999491 -6.13857e-09 0.008 293 -0.000613702 -0.000385789 99974.7 61318.1 159.427 1369.24 162821
0.002 -0.00199898 -1.23425e-08 0.008 293 -0.00122329 -0.000775687 99112 61318.1 159.427 1369.24 161959
0.003 -0.00299846 -1.86252e-08 0.008 293.001 -0.00182793 -0.00117053 98142.9 61318.1 159.427 1369.24 160990
0.004 -0.00399792 -2.49593e-08 0.008 293.001 -0.00242931 -0.00156861 97331 61318.1 159.427 1369.24 160178
0.005 -0.0049974 -3.13796e-08 0.008 293.002 -0.00302529 -0.0019721 96409.6 61318.1 159.427 1369.24 159256
0.006 -0.00599686 -3.78529e-08 0.008 293.002 -0.00361793 -0.00237893 95578.5 61318.1 159.427 1369.24 158425
0.007 -0.00699631 -4.43976e-08 0.008 293.003 -0.00420607 -0.00279024 94736.5 61318.1 159.427 1369.24 157583
0.008 -0.00799577 -5.10054e-08 0.008 293.004 -0.00479025 -0.00320552 93916.5 61318.1 159.427 1369.24 156763
0.009 -0.00899522 -5.76747e-08 0.008 293.005 -0.00537056 -0.00362466 93118.1 61318.1 159.427 1369.24 155965
0.01 -0.00999465 -6.44037e-08 0.008 293.006 -0.00594709 -0.00404756 92340.9 61318.1 159.427 1369.24 155188
0.011 -0.0109941 -7.1207e-08 0.008 293.008 -0.00651897 -0.00447513 91549.6 61318.1 159.427 1369.24 154396
0.012 -0.0119935 -7.80521e-08 0.008 293.009 -0.00708817 -0.00490532 90813.2 61318.1 159.427 1369.24 153660
0.013 -0.0129929 -8.4972e-08 0.008 293.011 -0.00765271 -0.00534022 90061.5 61318.1 159.427 1369.24 152908
0.014 -0.0139923 -9.19487e-08 0.008 293.013 -0.00821367 -0.00577868 89328.8 61318.1 159.427 1369.24 152176
0.015 -0.0149918 -9.89807e-08 0.008 293.015 -0.00877116 -0.00622062 88614.8 61318.1 159.427 1369.24 151462
