V 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
-1.5 74894.3 2142.96 1912.71 1837.4 1799.96 1777.54 1762.58 1751.88 1743.83 1737.56 1732.53 1728.4 1724.95 1722.02 1719.5 1717.31 1715.39 1713.68 1712.16 1710.8 1709.57
-1.499 74899.4 2142.86 1912.58 1837.26 1799.82 1777.39 1762.43 1751.73 1743.68 1737.41 1732.37 1728.25 1724.79 1721.86 1719.34 1717.15 1715.23 1713.52 1712.01 1710.64 1709.41
-1.498 74904.5 2142.76 1912.45 1837.12 1799.67 1777.24 1762.28 1751.57 1743.53 1737.25 1732.22 1728.09 1724.64 1721.71 1719.19 1716.99 1715.07 1713.37 1711.85 1710.48 1709.25
-1.497 74909.6 2142.66 1912.33 1836.98 1799.53 1777.09 1762.13 1751.42 1743.38 1737.1 1732.07 1727.94 1724.48 1721.55 1719.03 1716.84 1714.91 1713.21 1711.69 1710.33 1709.1
-1.496 74914.8 2142.56 1912.2 1836.84 1799.39 1776.95 1761.98 1751.27 1743.22 1736.95 1731.91 1727.78 1724.33 1721.39 1718.87 1716.68 1714.76 1713.05 1711.53 1710.17 1708.94
-1.495 74920 2142.45 1912.07 1836.7 1799.24 1776.8 1761.83 1751.12 1743.07 1736.79 1731.76 1727.62 1724.17 1721.24 1718.72 1716.52 1714.6 1712.89 1711.37 1710.01 1708.78
-1.494 74925.1 2142.35 1911.94 1836.57 1799.1 1776.65 1761.68 1750.97 1742.92 1736.64 1731.6 1727.47 1724.02 1721.08 1718.56 1716.37 1714.44 1712.74 1711.22 1709.85 1708.62
-1.493 74930.3 2142.25 1911.81 1836.43 1798.96 1776.51 1761.53 1750.82 1742.77 1736.49 1731.45 1727.31 1723.86 1720.93 1718.4 1716.21 1714.28 1712.58 1711.06 1709.69 1708.46
-1.492 74935.4 2142.15 1911.69 1836.29 1798.81 1776.36 1761.38 1750.67 1742.61 1736.33 1731.29 1727.16 1723.7 1720.77 1718.25 1716.05 1714.13 1712.42 1710.9 1709.54 1708.3
-1.491 74940.6 2142.05 1911.56 1836.15 1798.67 1776.21 1761.23 1750.52 1742.46 1736.18 1731.14 1727.01 1723.55 1720.61 1718.09 1715.9 1713.97 1712.27 1710.75 1709.38 1708.15
-1.49 74945.8 2141.95 1911.43 1836.01 1798.52 1776.07 1761.09 1750.37 1742.31 1736.03 1730.99 1726.85 1723.39 1720.46 1717.94 1715.74 1713.81 1712.11 1710.59 1709.22 1707.99
-1.489 74950.9 2141.85 1911.3 1835.88 1798.38 1775.92 1760.94 1750.22 1742.16 1735.87 1730.83 1726.7 1723.24 1720.3 1717.78 1715.58 1713.66 1711.95 1710.43 1709.06 1707.83
-1.488 74956.1 2141.75 1911.18 1835.74 1798.24 1775.77 1760.79 1750.07 1742.01 1735.72 1730.68 1726.54 1723.08 1720.15 1717.62 1715.43 1713.5 1711.79 1710.27 1708.91 1707.67
-1.487 74961.4 2141.65 1911.05 1835.6 1798.1 1775.63 1760.64 1749.91 1741.85 1735.57 1730.53 1726.39 1722.93 1719.99 1717.47 1715.27 1713.34 1711.64 1710.12 1708.75 1707.52
-1.486 74966.6 2141.54 1910.92 1835.46 1797.95 1775.48 1760.49 1749.76 1741.7 1735.42 1730.37 1726.23 1722.77 1719.84 1717.31 1715.11 1713.19 1711.48 1709.96 1708.59 1707.36
