t V I Nreal Treal Vschottky Vdiscplugserial Rschottky Rdisc Rplug Rseries Rtotal
0 0 0 0.008 293 0 0 nan 61318.1 159.427 1369.24 nan
0.001 -0.000999675 -6.13972e-09 0.008 293 -0.000613814 -0.000385861 99974.4 61318.1 159.427 1369.24 162821
0.002 -0.00199934 -1.23448e-08 0.008 293 -0.00122351 -0.000775832 99111.4 61318.1 159.427 1369.24 161958
0.003 -0.00299902 -1.86287e-08 0.008 293.001 -0.00182826 -0.00117075 98142.1 61318.1 159.427 1369.24 160989
0.004 -0.00399868 -2.49642e-08 0.008 293.001 -0.00242976 -0.00156892 97329.9 61318.1 159.427 1369.24 160177
0.005 -0.00499834 -3.13858e-08 0.008 293.002 -0.00302585 -0.00197249 96408.3 61318.1 159.427 1369.24 159255
0.006 -0.005998 -3.78605e-08 0.008 293.002 -0.00361859 -0.00237941 95576.9 61318.1 159.427 1369.24 158424
0.007 -0.00699766 -4.44067e-08 0.008 293.003 -0.00420685 -0.00279082 94734.6 61318.1 159.427 1369.24 157581
0.008 -0.0079973 -5.10159e-08 0.008 293.004 -0.00479112 -0.00320618 93914.4 61318.1 159.427 1369.24 156761
0.009 -0.00899693 -5.76865e-08 0.008 293.005 -0.00537152 -0.00362541 93115.8 61318.1 159.427 1369.24 155962
0.01 -0.00999659 -6.44172e-08 0.008 293.006 -0.00594818 -0.00404841 92338.3 61318.1 159.427 1369.24 155185
0.011 -0.0109962 -7.1222e-08 0.008 293.008 -0.00652014 -0.00447607 91546.7 61318.1 159.427 1369.24 154393
0.012 -0.0119959 -7.80694e-08 0.008 293.009 -0.00708948 -0.0049064 90810 61318.1 159.427 1369.24 153657
0.013 -0.0129955 -8.49907e-08 0.008 293.011 -0.0076541 -0.00534139 90058.1 61318.1 159.427 1369.24 152905
0.014 -0.0139951 -9.19693e-08 0.008 293.013 -0.00821518 -0.00577997 89325.2 61318.1 159.427 1369.24 152172
0.015 -0.0149947 -9.90028e-08 0.008 293.015 -0.00877274 -0.006222 88611 61318.1 159.427 1369.24 151458
0.016 -0.0159944 -1.0609e-07 0.008 293.017 -0.00932696 -0.00666744 87915.1 61318.1 159.427 1369.24 150762
0.017 -0.016994 -1.13243e-07 0.008 293.019 -0.00987701 -0.00711697 87219.3 61318.1 159.427 1369.24 150066
0.018 -0.0179936 -1.20449e-07 0.008 293.021 -0.0104238 -0.00756985 86540.9 61318.1 159.427 1369.24 149388
0.019 -0.0189932 -1.27706e-07 0.008 293.024 -0.0109673 -0.0080259 85879.6 61318.1 159.427 1369.24 148726
0.02 -0.0199928 -1.35012e-07 0.008 293.027 -0.0115078 -0.00848507 85235.2 61318.1 159.427 1369.24 148082
0.021 -0.0209924 -1.42384e-07 0.008 293.03 -0.0120441 -0.00894836 84588.8 61318.1 159.427 1369.24 147436
0.022 -0.0219921 -1.49804e-07 0.008 293.033 -0.0125774 -0.00941472 83958.5 61318.1 159.427 1369.24 146805
0.023 -0.0229916 -1.57272e-07 0.008 293.036 -0.0131076 -0.00988401 83343.9 61318.1 159.427 1369.24 146191
0.024 -0.0239913 -1.64806e-07 0.008 293.039 -0.0136338 -0.0103575 82726 61318.1 159.427 1369.24 145573
0.025 -0.0249909 -1.72375e-07 0.008 293.043 -0.0141576 -0.0108332 82132.6 61318.1 159.427 1369.24 144979
0.026 -0.0259905 -1.8e-07 0.008 293.046 -0.014678 -0.0113124 81544.5 61318.1 159.427 1369.24 144391
0.027 -0.02699 -1.87681e-07 0.008 293.05 -0.0151949 -0.0117951 80961.5 61318.1 159.427 1369.24 143808
0.028 -0.0279897 -1.95405e-07 0.008 293.054 -0.0157091 -0.0122806 80392.6 61318.1 159.427 1369.24 143239
0.029 -0.0289892 -2.0317e-07 0.008 293.058 -0.0162206 -0.0127686 79837.6 61318.1 159.427 1369.24 142684
0.03 -0.0299888 -2.10991e-07 0.008 293.063 -0.0167288 -0.0132601 79286.7 61318.1 159.427 1369.24 142133
0.031 -0.0309884 -2.18866e-07 0.008 293.067 -0.0172334 -0.013755 78739.5 61318.1 159.427 1369.24 141586
0.032 -0.031988 -2.26781e-07 0.008 293.072 -0.0177355 -0.0142525 78205.5 61318.1 159.427 1369.24 141052
0.033 -0.0329876 -2.34736e-07 0.008 293.077 -0.0182352 -0.0147524 77684.2 61318.1 159.427 1369.24 140531
0.034 -0.0339871 -2.42743e-07 0.008 293.082 -0.0187315 -0.0152556 77165.9 61318.1 159.427 1369.24 140013
0.035 -0.0349868 -2.50807e-07 0.008 293.087 -0.0192244 -0.0157624 76650 61318.1 159.427 1369.24 139497
0.036 -0.0359863 -2.58889e-07 0.008 293.092 -0.019716 -0.0162703 76156.2 61318.1 159.427 1369.24 139003
0.037 -0.0369859 -2.67034e-07 0.008 293.098 -0.0202037 -0.0167822 75659.5 61318.1 159.427 1369.24 138506
0.038 -0.0379854 -2.75214e-07 0.008 293.104 -0.0206891 -0.0172963 75174.5 61318.1 159.427 1369.24 138021
