t V I Nreal Treal Vschottky Vdiscplugserial Rschottky Rdisc Rplug Rseries Rtotal
0 0 0 0.008 293 0 0 nan 61318.1 159.427 1369.24 nan
0.001 -0.000997276 -6.12484e-09 0.008 293 -0.00061235 -0.000384926 99978.1 61318.1 159.427 1369.24 162825
0.002 -0.00199453 -1.23145e-08 0.008 293 -0.0012206 -0.000773929 99118.7 61318.1 159.427 1369.24 161965
0.003 -0.00299181 -1.85827e-08 0.008 293.001 -0.00182394 -0.00116786 98152.8 61318.1 159.427 1369.24 161000
0.004 -0.00398895 -2.49116e-08 0.008 293.001 -0.00242333 -0.00156561 97277.4 61318.1 159.427 1369.24 160124
0.005 -0.00498617 -3.13059e-08 0.008 293.002 -0.00301869 -0.00196747 96425.9 61318.1 159.427 1369.24 159273
0.006 -0.00598326 -3.77624e-08 0.008 293.002 -0.00361001 -0.00237325 95598 61318.1 159.427 1369.24 158445
0.007 -0.00698041 -4.42904e-08 0.008 293.003 -0.00419691 -0.00278351 94758.9 61318.1 159.427 1369.24 157606
0.008 -0.00797743 -5.08802e-08 0.008 293.004 -0.00477978 -0.00319765 93942 61318.1 159.427 1369.24 156789
0.009 -0.00897443 -5.75308e-08 0.008 293.005 -0.00535881 -0.00361563 93146.7 61318.1 159.427 1369.24 155993
0.01 -0.00997156 -6.42563e-08 0.008 293.006 -0.00593327 -0.0040383 92337.6 61318.1 159.427 1369.24 155184
0.011 -0.0109684 -7.10246e-08 0.008 293.008 -0.00650472 -0.00446366 91584 61318.1 159.427 1369.24 154431
0.012 -0.0119655 -7.78693e-08 0.008 293.009 -0.00707171 -0.00489383 90815.2 61318.1 159.427 1369.24 153662
0.013 -0.0129623 -8.47593e-08 0.008 293.011 -0.00763544 -0.00532684 90083.9 61318.1 159.427 1369.24 152931
0.014 -0.0139594 -9.1717e-08 0.008 293.013 -0.00819525 -0.00576411 89353.7 61318.1 159.427 1369.24 152200
0.015 -0.0149562 -9.87276e-08 0.008 293.015 -0.00875145 -0.00620471 88642.4 61318.1 159.427 1369.24 151489
0.016 -0.0159532 -1.05793e-07 0.008 293.017 -0.00930442 -0.00664875 87949.2 61318.1 159.427 1369.24 150796
0.017 -0.0169499 -1.12922e-07 0.008 293.019 -0.00985312 -0.00709675 87256.3 61318.1 159.427 1369.24 150103
0.018 -0.0179469 -1.20105e-07 0.008 293.021 -0.0103987 -0.00754819 86580.4 61318.1 159.427 1369.24 149427
0.019 -0.0189434 -1.27334e-07 0.008 293.024 -0.0109408 -0.00800255 85922.1 61318.1 159.427 1369.24 148769
0.02 -0.0199404 -1.34634e-07 0.008 293.027 -0.0114791 -0.00846128 85261.8 61318.1 159.427 1369.24 148108
0.021 -0.0209369 -1.41979e-07 0.008 293.029 -0.012014 -0.00892292 84618.2 61318.1 159.427 1369.24 147465
0.022 -0.0219339 -1.49376e-07 0.008 293.032 -0.0125461 -0.00938779 83990 61318.1 159.427 1369.24 146837
0.023 -0.0229304 -1.56816e-07 0.008 293.036 -0.013075 -0.00985535 83378.1 61318.1 159.427 1369.24 146225
0.024 -0.0239273 -1.64326e-07 0.008 293.039 -0.0136 -0.0103273 82762.4 61318.1 159.427 1369.24 145609
0.025 -0.0249238 -1.71867e-07 0.008 293.042 -0.0141226 -0.0108013 82171.5 61318.1 159.427 1369.24 145018
0.026 -0.0259206 -1.79477e-07 0.008 293.046 -0.0146411 -0.0112795 81576.3 61318.1 159.427 1369.24 144423
0.027 -0.0269168 -1.87114e-07 0.008 293.05 -0.0151573 -0.0117595 81005.4 61318.1 159.427 1369.24 143852
0.028 -0.0279138 -1.94813e-07 0.008 293.054 -0.0156704 -0.0122433 80438.4 61318.1 159.427 1369.24 143285
0.029 -0.0289099 -2.02559e-07 0.008 293.058 -0.0161797 -0.0127302 79876.6 61318.1 159.427 1369.24 142723
0.03 -0.0299068 -2.10353e-07 0.008 293.062 -0.0166868 -0.01322 79327.5 61318.1 159.427 1369.24 142174
0.031 -0.0309036 -2.18201e-07 0.008 293.067 -0.0171904 -0.0137132 78782.3 61318.1 159.427 1369.24 141629
0.032 -0.0318997 -2.26082e-07 0.008 293.071 -0.0176911 -0.0142085 78250.8 61318.1 159.427 1369.24 141097
0.033 -0.0328965 -2.34009e-07 0.008 293.076 -0.0181898 -0.0147067 77731.3 61318.1 159.427 1369.24 140578
0.034 -0.0338924 -2.41981e-07 0.008 293.081 -0.0186847 -0.0152077 77215.5 61318.1 159.427 1369.24 140062
0.035 -0.0348893 -2.50016e-07 0.008 293.086 -0.0191766 -0.0157127 76701.4 61318.1 159.427 1369.24 139548
0.036 -0.0358853 -2.58081e-07 0.008 293.092 -0.0196658 -0.0162195 76200.2 61318.1 159.427 1369.24 139047
0.037 -0.036882 -2.66187e-07 0.008 293.097 -0.020153 -0.016729 75710.1 61318.1 159.427 1369.24 138557
0.038 -0.037878 -2.74341e-07 0.008 293.103 -0.0206366 -0.0172414 75222.5 61318.1 159.427 1369.24 138069
0.039 -0.0388745 -2.82534e-07 0.008 293.109 -0.0211182 -0.0177563 74745.8 61318.1 159.427 1369.24 137593
0.04 -0.0398714 -2.90774e-07 0.008 293.115 -0.0215972 -0.0182742 74275 61318.1 159.427 1369.24 137122
0.041 -0.040867 -2.99046e-07 0.008 293.121 -0.022073 -0.018794 73811.4 61318.1 159.427 1369.24 136658
0.042 -0.0418637 -3.0737e-07 0.008 293.127 -0.0225465 -0.0193172 73352.7 61318.1 159.427 1369.24 136199
0.043 -0.0428595 -3.1573e-07 0.008 293.134 -0.0230169 -0.0198426 72900.4 61318.1 159.427 1369.24 135747
0.044 -0.0438561 -3.24129e-07 0.008 293.141 -0.0234856 -0.0203704 72457.8 61318.1 159.427 1369.24 135305
0.045 -0.0448528 -3.32571e-07 0.008 293.148 -0.0239518 -0.020901 72020.2 61318.1 159.427 1369.24 134867
0.046 -0.0458485 -3.41045e-07 0.008 293.155 -0.0244149 -0.0214335 71588.7 61318.1 159.427 1369.24 134435
0.047 -0.0468451 -3.4957e-07 0.008 293.162 -0.0248758 -0.0219693 71161.1 61318.1 159.427 1369.24 134008
0.048 -0.0478408 -3.58114e-07 0.008 293.17 -0.0253345 -0.0225063 70744.1 61318.1 159.427 1369.24 133591
0.049 -0.0488371 -3.66706e-07 0.008 293.177 -0.0257908 -0.0230463 70331 61318.1 159.427 1369.24 133178
0.05 -0.0498341 -3.75346e-07 0.008 293.185 -0.0262448 -0.0235893 69921.7 61318.1 159.427 1369.24 132768
0.051 -0.050829 -3.84006e-07 0.008 293.193 -0.0266954 -0.0241335 69518.2 61318.1 159.427 1369.24 132365
0.052 -0.0518262 -3.92716e-07 0.008 293.201 -0.0271453 -0.0246809 69121.9 61318.1 159.427 1369.24 131969
0.053 -0.0528215 -4.01447e-07 0.008 293.21 -0.0275919 -0.0252296 68731 61318.1 159.427 1369.24 131578
0.054 -0.053818 -4.10232e-07 0.008 293.218 -0.0280363 -0.0257817 68342.6 61318.1 159.427 1369.24 131189
0.055 -0.0548146 -4.19041e-07 0.008 293.227 -0.0284792 -0.0263353 67963 61318.1 159.427 1369.24 130810
0.056 -0.0558096 -4.27874e-07 0.008 293.236 -0.0289191 -0.0268905 67587.9 61318.1 159.427 1369.24 130435
0.057 -0.0568064 -4.36766e-07 0.008 293.245 -0.0293571 -0.0274493 67214.6 61318.1 159.427 1369.24 130061
0.058 -0.0578028 -4.45695e-07 0.008 293.255 -0.0297923 -0.0280105 66844.6 61318.1 159.427 1369.24 129691
0.059 -0.0587981 -4.54635e-07 0.008 293.264 -0.0302258 -0.0285723 66483.5 61318.1 159.427 1369.24 129330
0.06 -0.0597949 -4.63612e-07 0.008 293.274 -0.0306584 -0.0291365 66129.4 61318.1 159.427 1369.24 128976
0.061 -0.060791 -4.72641e-07 0.008 293.284 -0.031087 -0.0297039 65773.1 61318.1 159.427 1369.24 128620
